id1,id2
41,34
32,18
70,27
27,72
49,27
85,91
28,91
82,51
71,48
33,40
73,43
31,91
45,78
45,29
24,45
45,37
22,97
37,82
34,51
40,53
62,20
47,22
81,3
82,39
26,31
40,43
94,52
45,41
40,93
10,43
40,3
82,70
28,53
49,87
23,93
21,31
10,46
46,81
54,8
31,40
20,31
18,81
52,90
44,21
32,31
18,40
8,28
29,51
33,28
82,78
36,9
27,45
12,83
46,35
94,93
85,40
85,33
31,53
72,82
3,73
69,82
24,82
92,20
3,10
75,82
19,41
31,2
35,85
27,74
73,35
83,60
93,90
23,85
31,15
18,73
44,32
29,87
37,27
18,10
90,18
44,23
69,48
53,35
47,30
2,93
30,97
8,85
28,43
82,88
82,14
87,19
3,90
43,54
95,17
28,54
46,32
48,72
46,21
51,19
23,20
48,82
81,31
31,93
18,94
3,28
97,93
28,46
44,81
93,47
94,3
28,93
93,26
48,70
97,20
46,53
22,94
20,47
41,49
40,20
22,40
52,20
30,22
30,93
48,41
75,29
10,31
29,41
28,18
51,49
23,54
44,73
48,49
59,84
44,90
19,48
64,34
45,70
23,22
6,55
22,2
82,71
93,15
45,51
35,91
28,31
90,22
54,40
26,18
52,9
46,91
44,40
54,3
26,3
43,90
27,39
85,43
27,78
35,81
31,73
27,34
44,94
70,19
18,20
20,3
29,88
14,29
10,44
37,48
33,35
19,75
72,45
18,54
30,62
43,94
21,35
45,69
71,64
22,26
90,23
27,24
94,23
32,93
44,26
72,19
69,19
15,22
41,74
45,87
18,2
74,48
29,70
45,75
15,18
44,54
22,28
29,69
12,60
93,3
2,3
29,71
72,29
75,49
90,8
51,74
88,19
14,19
33,46
93,18
15,3
3,85
10,93
40,46
92,31
35,10
20,43
31,22
32,35
49,70
43,26
14,64
64,88
35,8
8,94
94,62
93,21
18,85
88,45
45,14
40,90
2,62
94,40
34,48
51,37
45,48
62,40
87,82
28,44
28,20
23,46
97,2
47,2
34,82
44,15
43,93
47,52
97,52
49,69
72,49
8,20
93,92
8,93
88,49
44,2
14,49
30,31
93,81
46,8
23,26
62,90
32,20
19,71
68,55
23,62
20,44
92,9
75,64
33,90
41,37
48,78
2,43
23,2
64,69
43,15
76,9
8,26
97,94
22,92
47,94
45,71
35,43
96,65
20,21
64,72
62,26
41,39
94,33
48,39
31,54
93,91
75,74
97,15
15,47
15,62
96,17
47,92
97,92
