name,address,city,zip,lat,lon,id,geog
San Diego Gas and Electric Service Center - San Diego,5488 Overland Ave,San Diego,92123,32.833537,-117.132811,952,0101000020E61000002463B5F97F485DC0C3802557B16A4040
Clean Energy - Waste Management - Moreno Valley,17700 Indian Ave,Moreno Valley,92551,33.862772,-117.234706,982,0101000020E6100000338B506C054F5DC0C7F319506FEE4040
Clean Energy - Santa Monica SoCal Gas,1701 Stewart St,Santa Monica,90404,34.030601,-118.465876,995,0101000020E610000071FF91E9D09D5DC0C91CCBBBEA034140
Clean Energy - Los Angeles County Sanitation District,2800 Workman Mill Rd,Whittier,90601,34.025657,-118.031019,997,0101000020E61000007FA31D37FC815DC0EDF483BA48034140
SoCalGas - Pico Rivera Base,8101 S Rosemead Blvd,Pico Rivera,90660,33.968221,-118.109093,1000,0101000020E61000003ECE3461FB865DC074266DAAEEFB4040
SoCalGas - San Pedro Base,755 W Capitol Dr,Los Angeles,90731,33.758315,-118.293979,1002,0101000020E61000007DAD4B8DD0925DC07B88467710E14040
SoCalGas - Van Nuys Base,16645 Saticoy St,Los Angeles,91406,34.209219,-118.496403,1006,0101000020E6100000B9A81611C59F5DC0D5592DB0C71A4140
City of Covina - City Corporate Yard,534 N Barranca Ave,Covina,91723,34.091688,-117.87986,1009,0101000020E6100000BF4351A04F785DC0C3B7B06EBC0B4140
SunLine Transit Agency,32-505 Harry Oliver Trail,Thousand Palms,92276,33.812361,-116.395444,1014,0101000020E610000090D959F44E195DC0DFC5FB71FBE74040
SoCalGas - Riverside Base,3077 Cottage St,Riverside,92507,33.971694,-117.371722,1016,0101000020E61000000A4D124BCA575DC016DC0F7860FC4040
SoCalGas - Garden Grove Base,12698 Industry St,Garden Grove,92841,33.778966,-118.007908,1017,0101000020E61000001D588E9081805DC014596B28B5E34040
Clean Energy - Irvine City Yard,6427 Oak Canyon,Irvine,92618,33.676026,-117.764558,1022,0101000020E61000004A79AD84EE705DC0739F1C0588D64040
SoCalGas - Oxnard Base,1650 Patton Ct,Oxnard,93030,34.191405,-119.161215,1025,0101000020E6100000FA27B85851CA5DC03CA583F57F184140
Revolution CNG - JB Dewar Inc,75 Prado Rd,San Luis Obispo,93401,35.254197,-120.670939,1029,0101000020E61000001AA721AAF02A5EC0E3DEFC8689A04140
Clean Energy - RTC Losee,3333 Losee Rd,North Las Vegas,89124,36.220567,-115.125553,1083,0101000020E61000008A3A730F09C85CC0D6C9198A3B1C4240
Virginia Natural Gas - Lance Rd,1184 Lance Rd,Norfolk,23502,36.864044,-76.217318,1108,0101000020E610000042B5C189E80D53C00B2769FE986E4240
Virginia Natural Gas - VNG Office,746 Diligence Dr,Newport News,23606,37.083023,-76.463112,1110,0101000020E6100000A69883A0A31D53C06CE8667FA08A4240
Montgomery County Government - Gaithersburg Highway Fuel Site,17000 Crabbs Branch Way,Derwood,20855,39.132781,-77.172278,1130,0101000020E610000080F44D9A064B53C0DD43C2F7FE904340
Memphis Light Gas and Water - North Center,1130 Tupelo St,Memphis,38108,35.166531,-89.972823,1215,0101000020E6100000FC7266BB427E56C0956247E350954140
Clean Energy - Lindbergh Field Shell,2521 Pacific Hwy,San Diego,92101,32.729925,-117.173535,1226,0101000020E6100000876D8B321B4B5DC033C4B12E6E5D4040
Clean Energy - Los Angeles International Airport,10400 Aviation Blvd,Los Angeles,90045,33.941383,-118.377866,1251,0101000020E61000004D11E0F42E985DC05401F73C7FF84040
Oklahoma Natural Gas - Okmulgee Service Center,2018 S Wood Dr,Okmulgee,74447,35.602719,-95.962047,1264,0101000020E6100000C18D942D92FD57C0C3D66CE525CD4140
Washington Elementary School District,12641 N 39th Ave,Phoenix,85029,33.6013089,-112.1419547,1286,0101000020E6100000DD802AC915095CC09925A6B0F7CC4040
PG&E - Chico Service Center,11239 Midway,Chico,95928,39.710548,-121.812671,1347,0101000020E610000016DA39CD02745EC07E1EA33CF3DA4340
PG&E - Vacaville Service Center,158 Peabody Rd,Vacaville,95687,38.3509,-121.977342,1349,0101000020E610000076C075C58C7E5EC04D158C4AEA2C4340
SunLine Transit Agency,83-255 Highway 111,Indio,92201,33.714919,-116.211564,1352,0101000020E6100000B340BB438A0D5DC0FF243E7782DB4040
SoCalGas - Energy Resource Center,9240 E Firestone Blvd,Downey,90241,33.932994,-118.119479,1353,0101000020E6100000C3633F8BA5875DC09FAEEE586CF74040
Trillium - Southern California Gas Co,1919 S State College Blvd,Anaheim,92806,33.801121,-117.889388,1354,0101000020E61000001C5DA5BBEB785DC0C59107228BE64040
SoCalGas - Compton Base,1471 E Elm St,Compton,90221,33.899899,-118.207088,1361,0101000020E610000038D906EE408D5DC0FF59F3E32FF34040
City of Ontario - City Yard,1440 S Cucamonga St,Ontario,91761,34.047068,-117.634077,1370,0101000020E61000005589B2B794685DC01558005306064140
Clean Energy - Palm Springs International Airport,3400 E Tahquitz Canyon Way,Palm Springs,92262,33.823151,-116.508135,1380,0101000020E6100000FDBCA94885205DC0B95510035DE94040
