stations1,name,ZIP1,lat1,lon1,geom1
Shell - Torrance,Air Products and Chemicals Inc - Woodland Hills,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Ramos Oil Co - Iwatani - Shell,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,SERVCO,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Shell - Hydrogen Technology and Energy Corp,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Shell - San Francisco 3rd St,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Shell - San Francisco Mission St,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Shell - San Francisco Harrison St,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,True Zero - FirstElement - Oakland,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Shell - Sacramento,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Shell - Citrus Heights,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Shell - Hydrogen Technology and Energy Corp,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,ESSO Harnois Groupe Pétrolier - Hydrogenics,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,South Coast Air Quality Management District - Diamond Bar,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Los Angeles International Airport,SunHydro - Wallingford,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,Messer - Emeryville,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,Air Liquide - Palo Alto,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,Air Liquide - Anaheim,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,Air Products and Chemicals Inc - Los Angeles,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,California State University Los Angeles - Hydrogen Research & Fueling Facility,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Campbell,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Coalinga,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Costa Mesa,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Hayward,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - La Canada Flintridge,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Fremont,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Lake Forest,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Long Beach,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
