source,target,cost
30120,35903,2568.022
30120,41133,42.176178
30120,41134,56.417999
30120,41135,2853.7334
30120,41136,2325.908
30120,48407,426.9639
30120,48408,2244.5244
30120,48409,60.816689
30120,48410,1144.3889
30120,48411,40.35556
30127,21796,104.0815
30127,21829,425.13211
30127,21831,361.00723
30127,21832,277.35391
30127,21869,29.605221
30127,25612,22.655188
30127,27339,8.3245068
30127,29436,45.552086
30127,30111,28.106474
30127,30120,38.178898
30127,30131,28.890644
30127,30136,2568.1394
30127,30376,2667.0691
30127,33058,2897.8413
30127,33059,1725.0284
30127,33060,2813.0918
30127,33062,2271.5005
30127,33063,2015.2864
30127,33064,2264.1143
30127,33066,2279.2385
30127,33472,45.100971
30127,33474,29.605221
30127,33475,686.07745
30127,33476,2988.3955
30127,33477,2243.4929
30127,33478,2683.231
30127,33577,2809.3394
30127,33578,2818.6687
30127,33579,2601.2883
30127,33581,36.402397
30127,33582,52.638824
30127,33585,43.63081
30127,33870,2805.6484
30127,33980,2418.8425
30127,34814,2811.0127
30127,35021,1022.5436
30127,35024,2605.3091
30127,35338,2828.3757
30127,35589,1373.4747
30127,35903,2597.0171
30127,41133,6.323071
30127,41134,28.668816
30127,41135,2882.729
30127,41136,2362.7527
30127,48407,405.99139
30127,48408,2273.5195
30127,48409,28.763264
30127,48410,1123.4158
30127,48411,11.284719
30131,21796,122.16154
30131,21829,404.14963
30131,21831,379.08725
30131,21832,290.63571
30131,21869,1.2414989
30131,25612,37.411507
30131,27339,32.935768
30131,29436,18.334173
30131,30111,45.701218
30131,30120,56.25893
30131,30127,29.392092
30131,30136,2581.4207
30131,30376,2680.3491
30131,33058,2911.1218
30131,33059,1738.3102
30131,33060,2826.373
30131,33062,2284.7817
30131,33063,2028.5675
30131,33064,2277.3955
30131,33066,2292.5198
30131,33472,17.883057
30131,33474,1.2414989
30131,33475,665.09564
30131,33476,3001.6775
30131,33477,2256.7747
30131,33478,2696.5122
30131,33577,2822.6213
30131,33578,2831.9504
30131,33579,2614.5701
30131,33581,9.1838627
30131,33582,77.24263
30131,33585,27.152048
30131,33870,2818.929
30131,33980,2436.9219
30131,34814,2824.2935
30131,35021,1035.8248
30131,35024,2618.5903
30131,35338,2841.6563
30131,35589,1391.5554
30131,35903,2610.2988
30131,41133,26.972471
30131,41134,0.46416399
30131,41135,2896.0095
30131,41136,2380.832
30131,48407,385.00955
30131,48408,2286.8005
30131,48409,5.1573792
30131,48410,1102.434
30131,48411,35.895981
30136,21796,2452.6104
30136,21829,2603.2754
30136,21831,2197.7458
30136,21832,2304.9031
30136,21869,2584.6213
30136,25612,2548.99
30136,27339,2569.1279
30136,29436,2584.3994
30136,30111,2542.5537
30136,30120,2541.301
30136,30127,2568.4221
30136,30131,2583.906
30136,30376,230.36894
30136,33058,342.43506
30136,33059,841.20648
30136,33060,257.68628
30136,33062,387.2005
30136,33063,588.15686
30136,33064,417.06793
30136,33066,394.4426
30136,33472,2583.9297
30136,33474,2584.6213
30136,33475,2802.3311
30136,33476,442.23596
30136,33477,328.22742
30136,33478,159.16667
30136,33577,333.89124
30136,33578,324.51599
30136,33579,229.84016
30136,33581,2584.6853
30136,33582,2608.9565
30136,33585,2571.6123
30136,33870,250.24164
30136,33980,615.13055
30136,34814,255.60593
30136,35021,1568.7362
30136,35024,202.52408
30136,35338,272.96765
30136,35589,1548.354
30136,35903,227.09059
30136,41133,2574.5017
30136,41134,2583.6843
30136,41135,327.32083
30136,41136,670.16229
30136,48407,2677.395
30136,48408,443.50232
30136,48409,2588.0823
30136,48410,2657.0935
30136,48411,2572.6809
30376,21796,2555.8083
30376,21829,2746.0813
30376,21831,2300.9436
30376,21832,2421.1162
30376,21869,2683.5161
30376,25612,2647.8911
30376,27339,2668.0247
30376,29436,2683.2925
30376,30111,2641.4543
30376,30120,2640.1997
30376,30127,2667.3232
30376,30131,2682.8015
30376,30136,229.22501
30376,33058,369.74744
30376,33059,930.7547
30376,33060,276.84625
30376,33062,530.00458
30376,33063,730.96033
30376,33064,559.87207
30376,33066,537.2467
30376,33472,2682.822
30376,33474,2683.5161
30376,33475,2945.137
30376,33476,465.34225
30376,33477,417.77505
30376,33478,196.75838
30376,33577,396.69131
30376,33578,387.31546
30376,33579,389.82394
30376,33581,2683.5828
30376,33582,2715.6895
30376,33585,2670.5059
30376,33870,269.05984
30376,33980,464.64569
30376,34814,259.1347
30376,35021,1685.9368
30376,35024,362.50845
30376,35338,280.98956
30376,35589,1515.668
30376,35903,387.07498
30376,41133,2673.3989
30376,41134,2682.5798
