source,target,cost
61975,61987,53.89
61975,61988,585.95
61975,61989,39.45
61975,61990,320.42
61975,62002,593.68
61975,62011,23.88
61975,62013,39.7
61975,62015,14.89
61975,62017,671.79
61975,62018,578.5
61975,62022,572.8
61975,64018,161.1
61975,88307,38.61
61975,88308,52.69
61975,88310,38.45
61975,88315,23.16
61975,88318,175.41
61975,88320,183.53
61975,121860,28.08
61975,153941,627.85
61975,153942,639.37
61976,61977,561.1
61976,61978,110.91
61976,61979,55.16
61976,61980,23.9
61976,61981,49.07
61976,61982,628.14
61976,61983,69.93
61976,61984,193.87
61976,61985,543.9
61976,61986,175.94
61976,61987,546.1
61976,61988,11.81
61976,61989,607.23
61976,61990,772.52
61976,62002,51.1
61976,62011,561.39
61976,62013,561.08
61976,62015,582.56
61976,62017,112.68
61976,62018,44.19
61976,62022,47.02
61976,64018,611.9
61976,88307,606.07
61976,88308,619.46
61976,88310,605.91
61976,88315,590.02
61976,88318,622.76
61976,88320,635.63
61976,121860,592.99
61976,122225,616.26
61976,153941,53.71
61976,153942,80.26
61977,61978,646.46
61977,61979,602.14
61977,61980,559.19
61977,61981,575.11
61977,61982,84.04
61977,61983,590.25
61977,61985,20.09
61977,61986,464.27
61977,61987,34.73
61977,61988,573.82
61977,61989,54.94
61977,61990,323.77
61977,62002,581.55
61977,62011,36.23
61977,62013,27.83
61977,62015,36.97
61977,62017,659.66
61977,62018,566.37
61977,62022,560.67
61977,64018,164.44
61977,88307,60.7
61977,88308,68.18
61977,88310,60.54
61977,88315,45.24
61977,88318,178.76
61977,88320,186.88
61977,121860,50.17
61977,153941,615.71
61977,153942,627.24
61978,61979,62.07
61978,61980,87
61978,61981,93.37
61978,61982,739
61978,61983,146.95
61978,61984,102.07
61978,61985,654.76
61978,61986,242.38
61978,61987,656.97
61978,61988,80.91
61978,61989,718.09
61978,62002,81.3
61978,62011,672.26
61978,62013,671.94
61978,62015,693.43
61978,62017,20.88
61978,62018,102.82
61978,62022,124.04
61978,88307,716.93
61978,88308,730.32
61978,88310,716.77
61978,88315,700.88
61978,88318,733.62
61978,121860,703.85
61978,122225,590.42
61978,153941,64.28
61978,153942,34.19
61979,61980,41.85
61979,61981,31.43
61979,61982,669.32
61979,61983,90.19
61979,61984,145.2
61979,61985,585.07
61979,61986,185.62
61979,61987,587.28
61979,61988,35.76
61979,61989,648.41
61979,61990,813.7
61979,62002,19.35
61979,62011,602.57
61979,62013,602.26
61979,62015,623.74
61979,62017,64.02
61979,62018,40.87
61979,62022,67.28
61979,64018,653.08
61979,88307,647.25
61979,88308,660.64
61979,88310,647.08
61979,88315,631.2
61979,88318,663.94
61979,88320,676.81
61979,121860,634.16
61979,122225,618.02
61979,153941,61.42
61979,153942,31.59
61980,61981,35.16
61980,61982,624.84
61980,61983,54.35
61980,61984,181.38
61980,61985,540.59
61980,61986,149.79
61980,61987,542.8
61980,61988,20.96
61980,61989,603.93
61980,61990,769.22
61980,62002,37.19
61980,62011,558.09
61980,62013,557.78
61980,62015,579.26
61980,62017,100.2
61980,62018,23.08
61980,62022,31.44
61980,64018,608.6
61980,88307,602.77
61980,88308,616.16
61980,88310,602.6
61980,88315,586.72
61980,88318,619.46
61980,88320,632.33
61980,121860,589.68
61980,122225,630.83
61980,153941,51.83
61980,153942,67.78
61981,61982,638.07
61981,61983,62.26
61981,61984,175.92
61981,61985,553.83
61981,61986,157.7
61981,61987,556.04
61981,61988,39.37
61981,61989,617.16
61981,61990,782.46
61981,62002,12.47
61981,62011,571.33
61981,62013,571.02
61981,62015,592.5
61981,62017,94.73
61981,62018,12.95
61981,62022,39.36
